Feature,Age,Income,SpendingScore,NumPurchases,CreditScore,IsSubscribed,YearsWithCompany,HasCreditCard,SatisfactionScore,Target
Age,1,0.05,0,0.01,0.05,0.04,-0.02,-0.01,0.05,0.25
Income,0.05,1,0.23,-0.02,0.04,0.04,0,0.04,0,0.34
SpendingScore,0,0.23,1,0.03,0.05,0.02,0,0.06,0.05,0.15
NumPurchases,0.01,-0.02,0.03,1,0.23,0.02,-0.03,-0.02,0,0.28
CreditScore,0.05,0.04,0.05,0.23,1,0.02,-0.05,-0.03,0.05,0.14
IsSubscribed,0.04,0.04,0.02,0.02,0.02,1,0.22,-0.01,-0.01,0.21
YearsWithCompany,-0.02,0,0,-0.03,-0.05,0.22,1,-0.02,0.02,0.22
HasCreditCard,-0.01,0.04,0.06,-0.02,-0.03,-0.01,-0.02,1,-0.01,0.04
SatisfactionScore,0.05,0,0.05,0,0.05,-0.01,0.02,-0.01,1,0.24
Target,0.25,0.34,0.15,0.28,0.14,0.21,0.22,0.04,0.24,1
